totalseeds	structure
0	0
200	40478.3
400	42812.7
600	45125.3
800	47460.7
1000	49747.7
1200	51853
1400	53792.7
1600	55494
1800	57336.7
2000	59083.3
2200	60986.3
2400	62719.3
2600	64322
2800	65881
3000	67561.3
3200	69036.7
3400	70352.7
3600	71890
3800	73524.7
4000	74858
4200	76397.3
4400	77883.7
4600	79279
4800	80625
5000	82125
5200	83536
5400	84822
5600	86034
5800	87286.7
6000	88678.7
6200	90287.3
6400	91901.3
6600	93318
6800	94518
7000	95897.3
7200	97465.3
7400	98890
7600	99156.7
7800	99156.7
8000	99156.7
8200	99156.7
8400	99156.7
8600	99156.7
8800	99156.7
9000	99156.7
9200	99156.7
9400	99156.7
9600	99156.7
9800	99156.7
10000	99156.7
